dv,estimate,SE,df,t_value,p_value,mean_step,sd_step,mean_nonstep,sd_nonstep,n_step,n_nonstep,converged,p_fdr,sig
DV1_norm_onset,-0.0460391780961957,0.0054591031804821,160.701357859034,-8.43346912012924,1.82794066681616e-14,0.514210123285703,0.0578220737668031,0.571488134125118,0.0653919323866081,112,72,True,6.1191362261898e-14,***
DV1_norm_300ms,-0.0460922708809609,0.0081030780998453,159.703050115654,-5.68824221030781,5.97192842300641e-08,0.260395527437695,0.119049923855882,0.296315722721504,0.103572974475361,112,72,True,8.957892634509616e-08,***
DV1_abs_cm_onset,-1.15016305606827,0.136667891675724,160.548358731324,-8.41575180509331,2.0397120753966e-14,12.9430460948784,1.62372393533216,14.4409983312287,1.61779177517832,112,72,True,6.1191362261898e-14,***
DV1_abs_cm_300ms,-1.13099167151136,0.205272188951509,159.686658071789,-5.50971701177958,1.41203621474604e-07,6.56688902646929,3.10897246731325,7.47710001674134,2.63168601792839,112,72,True,1.694443457695248e-07,***
DV2_norm_onset,-0.0421139448909109,0.005369036387528,160.574921770228,-7.84385536830018,5.75622990869634e-13,0.500488876001479,0.0568129615371902,0.552465026597064,0.0626819676812515,112,72,True,1.151245981739268e-12,***
DV2_norm_300ms,-0.0215582536603301,0.0066121245691828,160.026478752487,-3.26041250958986,0.0013593277031686,0.266928500691955,0.0913471307092764,0.289468186660448,0.0685568616294601,112,72,True,0.0013593277031686,**
