dv,estimate,SE,df,t_value,p_value,mean_step,sd_step,mean_nonstep,sd_nonstep,n_step,n_nonstep,converged,p_fdr,sig
xCOM_rel_minX_onset,-0.0115016305606882,0.0013666789167597,160.548358718496,-8.41575180508203,2.03971207633377e-14,0.129430460948784,0.0162372393533216,0.144409983312287,0.0161779177517832,112,72,True,6.119136229001311e-14,***
BOS_rangeX_onset,-4.47041378475752e-05,0.0007166875980274,159.530825154998,-0.0623760449749842,0.950341453142416,0.204470677035195,0.0134513258890059,0.206317002574603,0.0118515347995484,112,72,True,0.950341453142416,n.s.
xCOM_BOS_norm_onset,-0.0558654842755685,0.0065468984260405,160.93372885291,-8.53312219620847,1.00408545739638e-14,0.633106598281487,0.0673735193266511,0.700486237236161,0.0726557225993635,112,72,True,6.024512744378281e-14,***
xCOM_rel_minX_300ms,-0.0113099167151058,0.0020527218895348,159.686658058146,-5.50971701172284,1.41203621527565e-07,0.0656688902646929,0.0310897246731325,0.0747710001674134,0.0263168601792839,112,72,True,2.118054322913475e-07,***
BOS_rangeX_300ms,0.0047810341860013,0.0016991096410869,160.616570249459,2.8138467762108,0.0055073024637898,0.205840533333165,0.0219477223062721,0.203536743919055,0.0134972222992741,112,72,True,0.00660876295654776,**
xCOM_BOS_norm_300ms,-0.065867935147665,0.0091185475451596,159.590903670031,-7.22351172941235,1.96197468709435e-11,0.316628507137712,0.137832077306301,0.366762831170195,0.12422788289675,112,72,True,3.9239493741887e-11,***
