dv,estimate,SE,df,t_value,p_value,mean_step,sd_step,mean_nonstep,sd_nonstep,n_step,n_nonstep,converged,p_fdr,sig
DV1_norm_platform_onset,-0.0475665729258096,0.0055395362588451,160.74411556533,-8.58674277108635,7.33959894059244e-15,0.51961388247657,0.0587547702168296,0.578842857026328,0.0666561939449893,112,72,True,1.6646250877543042e-14,***
DV1_norm_step_onset,-0.114423109511862,0.0139853351074123,158.874207645853,-8.18164946589067,8.48773989557191e-14,0.224067301075295,0.167249629088555,0.341594087568989,0.10325517508239,110,72,True,1.1316986527429213e-13,***
DV1_abs_cm_platform_onset,-1.1881623356522,0.138697366008473,160.571612851355,-8.56658183097449,8.323125438771521e-15,13.0790255070461,1.6454246549227,14.6259692806035,1.6383118387598,112,72,True,1.6646250877543042e-14,***
DV1_abs_cm_step_onset,-2.89975808646328,0.361285133310281,158.899727563551,-8.02623141421346,2.09489034240084e-13,5.63363218449653,4.31929863149761,8.65047724411676,2.67158216020137,110,72,True,2.09489034240084e-13,***
