dv,term,estimate,SE,df,t_value,p_value,mean_step,sd_step,mean_nonstep,sd_nonstep,n_step,n_nonstep,converged,metric,event,paper_group,p_fdr,sig
DV1_norm_platformonset,main_step_effect,-0.0439793487669769,0.0065080246997855,103.390598738,-6.75771079486314,8.48601743726385e-10,0.509103416868598,0.0596264761120328,0.571488168280158,0.0653919451312148,53,72,True,DV1_xcom_bos_rear_norm,platform_onset,VanWouwe+Salot+Patel+Bhatt,3.0691043504998138e-09,***
DV1_norm_steponset,main_step_effect,-0.0893382985687158,0.014953651281853,104.166153824997,-5.97434679228693,3.25552342545185e-08,0.235433933666505,0.171985777730451,0.323183600660099,0.0995826998646131,53,72,True,DV1_xcom_bos_rear_norm,step_onset,VanWouwe+Salot+Patel+Bhatt,5.20883748072296e-08,***
DV1_abs_cm_platformonset,main_step_effect,-1.10248953924419,0.164767226033974,103.82034752495,-6.69119439455064,1.1509141314374301e-09,12.9100990086139,1.61736875668485,14.4409991682665,1.61779183640237,53,72,True,DV1_xcom_bos_rear_abs_cm,platform_onset,VanWouwe+Salot+Patel+Bhatt,3.0691043504998138e-09,***
DV1_abs_cm_steponset,main_step_effect,-2.28637384807474,0.386661334910721,104.351409196188,-5.91311735010344,4.28686294362489e-08,5.95324676167536,4.45247842904444,8.18549150246482,2.60582846489345,53,72,True,DV1_xcom_bos_rear_abs_cm,step_onset,VanWouwe+Salot+Patel+Bhatt,5.7158172581665204e-08,***
DV2_com_rear_over_foot_platformonset,main_step_effect,-0.0395004192107876,0.0063213193558422,103.024156317958,-6.2487618465726,9.44461529937608e-09,0.497647301003647,0.0582989763104885,0.552465026597064,0.0626819676812515,53,72,True,DV2_com_rear_over_foot,platform_onset,Joshi_position,1.888923059875216e-08,***
DV2_com_rear_over_foot_steponset,main_step_effect,-0.0224594042265507,0.0090697520461655,103.354837115217,-2.47629748996786,0.0148985832941807,0.264803820350614,0.110870654805148,0.287205331658916,0.074504063681158,53,72,True,DV2_com_rear_over_foot,step_onset,Joshi_position,0.017026952336206515,*
DV3_vcom_rel_over_sqrtgh_platformonset,main_step_effect,-0.0001156338393306,0.0011664314535674,100.483472667415,-0.0991347060960736,0.921228819230256,-0.0244963744089736,0.0159315483265311,-0.0290745571327824,0.0194715328453768,53,72,True,DV3_vcom_rel_over_sqrtgh,platform_onset,Joshi_velocity,0.921228819230256,
DV3_vcom_rel_over_sqrtgh_steponset,main_step_effect,0.0715143362931604,0.005199925957955,111.355709715494,13.7529528057521,9.363744451495409e-26,0.0684352843970448,0.042874868345508,-0.0039025804541644,0.0184239009290196,53,72,True,DV3_vcom_rel_over_sqrtgh,step_onset,Joshi_velocity,7.490995561196327e-25,***
