subject,velocity,trial,column,count,nan_count,min,max,range,std,max_abs_diff,flag_jump_gt_180,flag_range_gt_200,flag_range_gt_300
강비은,30,3,Knee_R_Z_deg,238,0,-3.707790389056223,4.0207402653161015,7.7285306543723244,1.242717312961971,2.5543737825952313,false,false,false
강비은,30,3,Ankle_R_Y_deg,238,0,-0.04685258865356445,9.926095008850098,9.972947597503662,1.655926197640055,1.7054309844970703,false,false,false
강비은,30,7,Knee_L_X_deg,240,0,-13.271847724844381,0.4099889351191859,13.681836659963567,4.5650358000102615,1.5390512214340255,false,false,false
강비은,30,2,Knee_L_X_deg,238,0,-13.198129920019257,0.3936643561160311,13.591794276135289,4.616598144621609,1.4637675957416771,false,false,false
강비은,30,1,Knee_L_Z_deg,236,0,-15.665732125624999,8.703911976814588,24.369644102439587,5.7967831295181735,1.4531637270552302,false,false,false
강비은,30,1,Hip_L_Z_deg,236,0,-8.50173304129692,11.218170350867043,19.719903392163964,5.103515977240633,1.4378222684057373,false,false,false
강비은,30,10,Knee_R_Z_deg,238,0,-2.6187355089179114,9.888064861427459,12.50680037034537,2.665578020624926,1.34512208721668,false,false,false
강비은,30,11,Knee_R_Z_deg,234,0,-18.534490124205814,12.176647808887168,30.71113793309298,7.828785328934332,1.3100097922409368,false,false,false
강비은,30,1,Knee_R_X_deg,236,0,-17.007395575800714,0.4838974516325414,17.491293027433255,5.260857661798461,1.2626232204398562,false,false,false
강비은,30,4,Knee_L_X_deg,238,0,-14.726761260987606,3.2597163191250473,17.986477580112656,7.192928937536344,1.2170090827283957,false,false,false
강비은,30,8,Knee_R_X_deg,238,0,-8.819580376635106,0.3951169452534231,9.21469732188853,3.0725562260352017,1.1576491893122842,false,false,false
강비은,30,7,Knee_R_X_deg,240,0,-8.920994811988043,0.4185331816057539,9.339527993593798,2.605663006436961,1.1562246679835129,false,false,false
강비은,30,1,Knee_R_Z_deg,236,0,-3.9316105655156672,8.018468769544778,11.950079335060446,2.237474985081662,1.1117550138448529,false,false,false
강비은,30,5,Knee_L_X_deg,238,0,-12.767534304174141,0.2656004436124082,13.03313474778655,4.093375479330772,1.1059886266380694,false,false,false
강비은,30,2,Knee_R_X_deg,238,0,-18.82152476865078,0.6172436616855234,19.438768430336303,4.5499738235854625,1.1035587868408392,false,false,false
강비은,30,11,Knee_L_X_deg,234,0,-20.861169518978325,0.10504681533091498,20.96621633430924,6.956787670281395,1.0872781771804672,false,false,false
강비은,30,3,Knee_L_Z_deg,238,0,-11.593314649048583,1.0502107405548067,12.64352538960339,3.2942004852381994,1.0295536871837498,false,false,false
강비은,30,10,Hip_R_Z_deg,238,0,-12.607566578057389,0.02817111523171789,12.635737693289107,3.062243294257431,1.0200138339039464,false,false,false
강비은,30,1,Knee_L_X_deg,236,0,-11.457062620390584,0.08854059598452135,11.545603216375106,4.167814292024331,0.9991706578780049,false,false,false
강비은,30,9,Knee_L_X_deg,237,0,-13.606155816082298,0.26194458485915906,13.868100400941458,4.718466301031105,0.9601333520070323,false,false,false
강비은,30,10,Knee_R_Y_deg,238,0,-13.256614685058594,0.1447739601135254,13.40138864517212,3.3958294500389425,0.9397850036621094,false,false,false
강비은,30,3,Hip_L_Z_deg,238,0,-5.829399543858041,1.6302617810537892,7.4596613249118295,2.076592737604272,0.9315522653425552,false,false,false
강비은,30,3,Knee_L_X_deg,238,0,-16.19223683090861,0.49733254045166175,16.68956937136027,5.341733759047438,0.9054237501986426,false,false,false
강비은,30,1,Hip_R_Z_deg,236,0,-9.56359053504707,2.615807065311266,12.179397600358335,3.894928314637922,0.8761493459725553,false,false,false
강비은,30,10,Knee_L_X_deg,238,0,-15.02762853260573,0.027321183566874296,15.054949716172604,6.247602038146271,0.86538358045844,false,false,false
강비은,30,8,Knee_L_X_deg,238,0,-8.81759791422851,0.39869393666609954,9.21629185089461,3.6922626006605226,0.8556293232717218,false,false,false
강비은,30,2,Knee_R_Z_deg,238,0,-7.903709638657519,0.19701936792995767,8.100729006587477,1.801037808347807,0.8449336739183053,false,false,false
강비은,30,4,Knee_R_X_deg,238,0,-7.053090472585413,0.3265734356114065,7.379663908196819,2.2446836462800386,0.8443814958125921,false,false,false
강비은,30,11,Knee_L_Z_deg,234,0,-11.655824540332542,0.31512016886864735,11.97094470920119,2.8616617121933707,0.8191582475379668,false,false,false
강비은,30,5,Knee_R_X_deg,238,0,-9.006135734674045,0.3758157377934662,9.381951472467511,2.9810994777185766,0.8186630588231427,false,false,false
강비은,30,11,Hip_R_X_deg,234,0,-0.3986363069449794,15.460326139167913,15.858962446112892,6.928949064035085,0.8143395490785252,false,false,false
강비은,30,10,Hip_L_Z_deg,238,0,-11.788243979092517,0.23668611842162912,12.024930097514146,4.254274480036071,0.779172185702599,false,false,false
강비은,30,3,Knee_R_X_deg,238,0,-9.197882303286459,0.30950591345345513,9.507388216739914,3.5778288126428603,0.7730222406852367,false,false,false
강비은,30,2,Hip_L_X_deg,238,0,-0.3506943553870112,8.63001487952375,8.980709234910762,2.7901806755303302,0.7706536591471256,false,false,false
강비은,30,11,Knee_R_X_deg,234,0,-18.450511667700034,0.34636935153851334,18.796881019238548,6.066755465050853,0.7458660488755005,false,false,false
강비은,30,7,Hip_L_X_deg,240,0,-0.3015707811026349,7.4946419253026395,7.796212706405274,1.8982888817108878,0.7095900604199166,false,false,false
강비은,30,1,Hip_R_X_deg,236,0,-0.35836636537222866,7.922776965499255,8.281143330871483,2.5322310673520874,0.7061083714905045,false,false,false
