MocapFrame,stage0_L,stage1_L,stage2_L,final_L,stage0_R,stage1_R,stage2_R,final_R,dot_shankX_footX_L,dot_shankX_footX_R,Rrel_L_10,Rrel_L_00,Rrel_R_10,Rrel_R_00,az_from_Rrel_L_deg,az_from_Rrel_R_deg
21,-1.3446392860167133e-7,1.3446392860167133e-7,5.3721069791728466e-8,5.3721069791728466e-8,4.285342486730452e-7,4.285342486730452e-7,-2.9466948568448676e-7,-2.9466948568448676e-7,0.99210346,0.9961556,-2.3283064e-9,0.99210346,7.450581e-9,0.9961556,-1.3446392e-7,4.2853424e-7
22,8.067910141079826e-8,-8.067910141079826e-8,-1.6142196022074112e-7,-1.6142196022074112e-7,1.071337530015422e-7,1.071337530015422e-7,-6.160699813559898e-7,-6.160699813559898e-7,0.99209434,0.99615395,1.3969839e-9,0.99209434,1.8626451e-9,0.99615395,8.0679094e-8,1.07133744e-7
23,2.6892935206404294e-8,-2.6892935206404294e-8,-1.0763579401634716e-7,-1.0763579401634716e-7,5.892367865081674e-7,5.892367865081674e-7,-1.3396694784936458e-7,-1.3396694784936458e-7,0.9920979,0.996152,4.656613e-10,0.9920979,1.0244548e-8,0.996152,2.6892934e-8,5.892368e-7
24,-5.378535516295019e-8,5.378535516295019e-8,-2.6957503646992676e-8,-2.6957503646992676e-8,-2.410517203088122e-7,-2.410517203088122e-7,-9.64255454666344e-7,-9.64255454666344e-7,0.99210745,0.99615073,-9.313226e-10,0.99210745,-4.1909516e-9,0.99615073,-5.3785353e-8,-2.410517e-7
25,1.882457851544719e-7,-1.882457851544719e-7,-2.6898864396441475e-7,-2.6898864396441475e-7,6.6958594353742e-7,6.6958594353742e-7,-5.361779082011197e-8,-5.361779082011197e-8,0.99212307,0.99615395,3.259629e-9,0.99212307,1.1641532e-8,0.99615395,1.8824578e-7,6.695859e-7
26,1.6135039137929883e-7,-1.6135039137929883e-7,-2.420932501892417e-7,-2.420932501892417e-7,-2.6783212431003163e-8,-2.6783212431003163e-8,-7.499869467885352e-7,-7.499869467885352e-7,0.9921424,0.99616235,2.7939677e-9,0.9921424,-4.656613e-10,0.99616235,1.6135039e-7,-2.678321e-8
27,-2.9580423126152056e-7,2.9580423126152056e-7,2.150613724515777e-7,2.150613724515777e-7,5.356583963994494e-8,5.356583963994494e-8,-6.696378947175871e-7,-6.696378947175871e-7,0.99215853,0.9961732,-5.122274e-9,0.99215853,9.313226e-10,0.9961732,-2.9580423e-7,5.3565838e-8
28,-1.3445490854859468e-7,1.3445490854859468e-7,5.3712049738651816e-8,5.3712049738651816e-8,-5.356521752344925e-7,-5.356521752344925e-7,-1.2588559095920243e-6,-1.2588559095920243e-6,0.99217004,0.99618477,-2.3283064e-9,0.99217004,-9.313226e-9,0.99618477,-1.3445491e-7,-5.3565213e-7
29,-1.0756378943891352e-7,1.0756378943891352e-7,2.682093062897065e-8,2.682093062897065e-8,8.034706422427219e-8,8.034706422427219e-8,-6.428566701332598e-7,-6.428566701332598e-7,0.9921713,0.9961942,-1.8626451e-9,0.9921713,1.3969839e-9,0.9961942,-1.07563785e-7,8.034706e-8
30,-8.067362449563677e-8,8.067362449563677e-8,-6.923431430609438e-11,-6.923431430609438e-11,5.356440839033828e-7,5.356440839033828e-7,-1.8755965045414918e-7,-1.8755965045414918e-7,0.9921617,0.9961998,-1.3969839e-9,0.9921617,9.313226e-9,0.9961998,-8.067362e-8,5.3564406e-7
31,1.8823942404510898e-7,-1.8823942404510898e-7,-2.6898228285505184e-7,-2.6898228285505184e-7,2.6782153306294238e-8,2.6782153306294238e-8,-6.964215810512377e-7,-6.964215810512377e-7,0.99215657,0.99620163,3.259629e-9,0.99215657,4.656613e-10,0.99620163,1.8823941e-7,2.6782152e-8
32,0.0,-0.0,-8.074285880994287e-8,-8.074285880994287e-8,5.624260845430524e-7,5.624260845430524e-7,-1.607776498144796e-7,-1.607776498144796e-7,0.99216557,0.9962002,0.0,0.99216557,9.778887e-9,0.9962002,0.0,5.6242607e-7
33,0.0,-0.0,-8.074285880994287e-8,-8.074285880994287e-8,-2.1425824422785197e-7,-2.1425824422785197e-7,-9.374619785853839e-7,-9.374619785853839e-7,0.9921916,0.9961969,0.0,0.9921916,-3.7252903e-9,0.9961969,0.0,-2.1425824e-7
34,-1.6133702032741797e-7,1.6133702032741797e-7,8.05941615174751e-8,8.05941615174751e-8,-2.142584274278016e-6,-2.142584274278016e-6,-2.865788008635548e-6,-2.865788008635548e-6,0.9922246,0.99619615,-2.7939677e-9,0.9922246,-3.7252903e-8,0.99619615,-1.6133701e-7,-0.0000021425842
35,-1.344442854959586e-7,1.344442854959586e-7,5.370142668601574e-8,5.370142668601574e-8,-1.0712872772514548e-7,-1.0712872772514548e-7,-8.303324620826774e-7,-8.303324620826774e-7,0.9922484,0.9962006,-2.3283064e-9,0.9922484,-1.8626451e-9,0.9962006,-1.3444428e-7,-1.0712872e-7
36,8.066537413679306e-8,-8.066537413679306e-8,-1.6140823294673593e-7,-1.6140823294673593e-7,5.356393512380168e-7,5.356393512380168e-7,-1.8756438311951517e-7,-1.8756438311951517e-7,0.99226314,0.9962086,1.3969839e-9,0.99226314,9.313226e-9,0.9962086,8.066537e-8,5.3563934e-7
37,-2.6888240707694452e-8,2.6888240707694452e-8,-5.3854618102248416e-8,-5.3854618102248416e-8,1.0712699750339877e-7,1.0712699750339877e-7,-6.160767368541332e-7,-6.160767368541332e-7,0.9922712,0.9962168,-4.656613e-10,0.9922712,1.8626451e-9,0.9962168,-2.688824e-8,1.0712699e-7
38,8.066437544262309e-8,-8.066437544262309e-8,-1.6140723425256594e-7,-1.6140723425256594e-7,5.3563104362918884e-8,5.3563104362918884e-8,-6.696406299946131e-7,-6.696406299946131e-7,0.9922754,0.99622405,1.3969839e-9,0.9922754,9.313226e-10,0.99622405,8.066437e-8,5.3563102e-8
39,-2.688801806886675e-8,2.688801806886675e-8,-5.385484074107612e-8,-5.385484074107612e-8,-1.1248184806509187e-6,-1.1248184806509187e-6,-1.8480222150084506e-6,-1.8480222150084506e-6,0.9922794,0.99623,-4.656613e-10,0.9922794,-1.9557774e-8,0.99623,-2.6888017e-8,-0.0000011248184
40,-8.066384747054595e-8,8.066384747054595e-8,-7.901133939691408e-11,-7.901133939691408e-11,-1.339064409771044e-7,-1.339064409771044e-7,-8.571101753346364e-7,-8.571101753346364e-7,0.9922819,0.9962339,-1.3969839e-9,0.9922819,-2.3283064e-9,0.9962339,-8.0663845e-8,-1.3390644e-7
41,2.1510279599574908e-7,-2.1510279599574908e-7,-2.958456548056919e-7,-2.958456548056919e-7,-1.0712498993728384e-6,-1.0712498993728384e-6,-1.7944536337303704e-6,-1.7944536337303704e-6,0.9922856,0.99623543,3.7252903e-9,0.9922856,-1.8626451e-8,0.99623543,2.1510279e-7,-0.0000010712498
42,-2.6887655485633064e-8,2.6887655485633064e-8,-5.38552033243098e-8,-5.38552033243098e-8,7.230933054989915e-7,7.230933054989915e-7,-1.1042885854045541e-10,-1.1042885854045541e-10,0.99229276,0.9962359,-4.656613e-10,0.99229276,1.2572855e-8,0.9962359,-2.6887655e-8,7.2309325e-7
43,-2.688746019957562e-7,2.688746019957562e-7,1.8813174318581335e-7,1.8813174318581335e-7,7.498754079164109e-7,7.498754079164109e-7,2.667167355887895e-8,2.667167355887895e-8,0.99230003,0.9962348,-4.656613e-9,0.99230003,1.3038516e-8,0.9962348,-2.688746e-7,7.4987537e-7
44,0.0,-0.0,-8.074285880994287e-8,-8.074285880994287e-8,-5.891896634100068e-7,-5.891896634100068e-7,-1.312393397767539e-6,-1.312393397767539e-6,0.99230415,0.9962317,0.0,0.99230415,-1.0244548e-8,0.9962317,0.0,-5.8918965e-7
45,-3.226485453285093e-7,3.226485453285093e-7,2.4190568651856643e-7,2.4190568651856643e-7,1.392636858603617e-6,1.392636858603617e-6,6.69433124246085e-7,6.69433124246085e-7,0.992303,0.9962268,-5.5879354e-9,0.992303,2.4214387e-8,0.9962268,-3.2264853e-7,0.0000013926368
46,3.226509879945047e-7,-3.226509879945047e-7,-4.0339384680444756e-7,-4.0339384680444756e-7,-5.08851701933233e-7,-5.08851701933233e-7,-1.232055436290765e-6,-1.232055436290765e-6,0.9922955,0.9962197,5.5879354e-9,0.9922955,-8.8475645e-9,0.9962197,3.2265098e-7,-5.0885166e-7
47,-1.075509399980004e-7,1.075509399980004e-7,2.6808081188057527e-8,2.6808081188057527e-8,-1.5533514571020912e-6,-1.5533514571020912e-6,-2.276555191459623e-6,-2.276555191459623e-6,0.99228984,0.99621034,-1.8626451e-9,0.99228984,-2.7008355e-8,0.99621034,-1.0755093e-7,-0.0000015533514
48,1.0755024027597048e-7,-1.0755024027597048e-7,-1.8829309908591335e-7,-1.8829309908591335e-7,4.2851312978996033e-7,4.2851312978996033e-7,-2.9469060456757165e-7,-2.9469060456757165e-7,0.9922963,0.9962048,1.8626451e-9,0.9922963,7.450581e-9,0.9962048,1.07550235e-7,4.2851312e-7
49,2.6887322799613383e-7,-2.6887322799613383e-7,-3.496160868060767e-7,-3.496160868060767e-7,5.3563918584917334e-8,5.3563918584917334e-8,-6.696398157726147e-7,-6.696398157726147e-7,0.99230504,0.99620897,4.656613e-9,0.99230504,9.313226e-10,0.99620897,2.688732e-7,5.3563916e-8
50,-8.066207908214306e-8,8.066207908214306e-8,-8.077972779980342e-11,-8.077972779980342e-11,1.6604686712192898e-6,1.6604686712192898e-6,9.372649368617578e-7,9.372649368617578e-7,0.99230367,0.9962166,-1.3969839e-9,0.99230367,2.8871e-8,0.9962166,-8.0662076e-8,0.0000016604686
51,-2.6887656121744e-7,2.6887656121744e-7,1.8813370240749714e-7,1.8813370240749714e-7,-2.6781580806451575e-8,-2.6781580806451575e-8,-7.499853151639836e-7,-7.499853151639836e-7,0.99229276,0.996223,-4.656613e-9,0.99229276,-4.656613e-10,0.996223,-2.6887653e-7,-2.678158e-8
52,-2.957673877160905e-7,2.957673877160905e-7,2.1502452890614763e-7,2.1502452890614763e-7,-2.1425147600748982e-7,-2.1425147600748982e-7,-9.374552103650218e-7,-9.374552103650218e-7,0.9922821,0.9962284,-5.122274e-9,0.9922821,-3.7252903e-9,0.9962284,-2.9576736e-7,-2.1425146e-7
53,0.0,-0.0,-8.074285880994287e-8,-8.074285880994287e-8,5.088455443793697e-7,5.088455443793697e-7,-2.143581899781623e-7,-2.143581899781623e-7,0.9922868,0.9962318,0.0,0.9922868,8.8475645e-9,0.9962318,0.0,5.088455e-7
54,-8.066216813767414e-8,8.066216813767414e-8,-8.069067226872847e-11,-8.069067226872847e-11,-2.6781323181522377e-8,-2.6781323181522377e-8,-7.499850575390543e-7,-7.499850575390543e-7,0.9923026,0.9962326,-1.3969839e-9,0.9923026,-4.656613e-10,0.9962326,-8.066216e-8,-2.6781322e-8
55,2.688714977743871e-8,-2.688714977743871e-8,-1.0763000858738158e-7,-1.0763000858738158e-7,-3.2137634890036137e-7,-3.2137634890036137e-7,-1.0445800832578934e-6,-1.0445800832578934e-6,0.9923115,0.9962311,4.656613e-10,0.9923115,-5.5879354e-9,0.9962311,2.6887149e-8,-3.2137632e-7
56,1.0754845916534887e-7,-1.0754845916534887e-7,-1.8829131797529175e-7,-1.8829131797529175e-7,4.0172257981930703e-7,4.0172257981930703e-7,-3.2148115453822495e-7,-3.2148115453822495e-7,0.9923128,0.9962258,1.8626451e-9,0.9923128,6.9849193e-9,0.9962258,1.0754845e-7,4.0172256e-7
57,1.8820966677550922e-7,-1.8820966677550922e-7,-2.6895252558545206e-7,-2.6895252558545206e-7,-1.3122987953490933e-6,-1.3122987953490933e-6,-2.0355025297066254e-6,-2.0355025297066254e-6,0.99231344,0.99622196,3.259629e-9,0.99231344,-2.2817403e-8,0.99622196,1.8820965e-7,-0.0000013122988
58,-2.4198425894141734e-7,2.4198425894141734e-7,1.6124140013147447e-7,1.6124140013147447e-7,5.088482923786145e-7,5.088482923786145e-7,-2.1435544197891751e-7,-2.1435544197891751e-7,0.9923118,0.9962264,-4.1909516e-9,0.9923118,8.8475645e-9,0.9962264,-2.4198425e-7,5.0884825e-7
59,-3.226495631060074e-7,3.226495631060074e-7,2.419067042960645e-7,2.419067042960645e-7,4.5528205198877964e-7,4.5528205198877964e-7,-2.6792168236875235e-7,-2.6792168236875235e-7,0.99229985,0.9962335,-5.5879354e-9,0.99229985,7.916242e-9,0.9962335,-3.2264956e-7,4.5528202e-7
60,0.0,-0.0,-8.074285880994287e-8,-8.074285880994287e-8,-2.1424903334149445e-7,-2.1424903334149445e-7,-9.374527676990264e-7,-9.374527676990264e-7,0.99228215,0.99623984,0.0,0.99228215,-3.7252903e-9,0.99623984,0.0,-2.1424903e-7
61,8.06646807758725e-8,-8.06646807758725e-8,-1.6140753958581538e-7,-1.6140753958581538e-7,-4.284933340176229e-7,-4.284933340176229e-7,-1.151697068375155e-6,-1.151697068375155e-6,0.99227166,0.9962508,1.3969839e-9,0.99227166,-7.450581e-9,0.9962508,8.066468e-8,-4.284933e-7
62,1.3444119399680822e-7,-1.3444119399680822e-7,-2.1518405280675108e-7,-2.1518405280675108e-7,-6.695108315580626e-7,-6.695108315580626e-7,-1.3927145659155946e-6,-1.3927145659155946e-6,0.99227124,0.9962657,2.3283064e-9,0.99227124,-1.1641532e-8,0.9962657,1.3444118e-7,-6.6951077e-7
63,2.6887941735554395e-8,-2.6887941735554395e-8,-1.0763080054549726e-7,-1.0763080054549726e-7,8.034024511503513e-8,8.034024511503513e-8,-6.428634892424969e-7,-6.428634892424969e-7,0.9922822,0.99627876,4.656613e-10,0.9922822,1.3969839e-9,0.99627876,2.688794e-8,8.034024e-8
64,2.6887617318976887e-8,-2.6887617318976887e-8,-1.0763047612891976e-7,-1.0763047612891976e-7,-1.0711944050547561e-7,-1.0711944050547561e-7,-8.303231748630076e-7,-8.303231748630076e-7,0.9922942,0.996287,4.656613e-10,0.9922942,-1.8626451e-9,0.996287,2.6887616e-8,-1.0711943e-7
65,5.3775158304641416e-8,-5.3775158304641416e-8,-1.3451801711458428e-7,-1.3451801711458428e-7,-3.2135690935014825e-7,-3.2135690935014825e-7,-1.0445606437076801e-6,-1.0445606437076801e-6,0.99229556,0.99629134,9.313226e-10,0.99229556,-5.5879354e-9,0.99629134,5.3775157e-8,-3.2135688e-7
66,-2.1510322855118575e-7,2.1510322855118575e-7,1.3436036974124288e-7,1.3436036974124288e-7,-3.4813588210176104e-7,-3.4813588210176104e-7,-1.071339616459293e-6,-1.071339616459293e-6,0.9922836,0.99629354,-3.7252903e-9,0.9922836,-6.0535967e-9,0.99629354,-2.1510321e-7,-3.4813587e-7
67,-1.344433567739916e-7,1.344433567739916e-7,5.3700497964048736e-8,5.3700497964048736e-8,-6.427122411451745e-7,-6.427122411451745e-7,-1.3659159755027064e-6,-1.3659159755027064e-6,0.9922553,0.99629384,-2.3283064e-9,0.9922553,-1.1175871e-8,0.99629384,-1.3444335e-7,-6.427122e-7
68,0.0,-0.0,-8.074285880994287e-8,-8.074285880994287e-8,-5.355940601393528e-7,-5.355940601393528e-7,-1.2587977944968847e-6,-1.2587977944968847e-6,0.9922152,0.9962928,0.0,0.9922152,-9.313226e-9,0.9962928,0.0,-5.3559404e-7
69,-2.15126281211517e-7,2.15126281211517e-7,1.3438342240157413e-7,1.3438342240157413e-7,1.6067841650841795e-7,1.6067841650841795e-7,-5.625253178491141e-7,-5.625253178491141e-7,0.99217725,0.99629164,-3.7252903e-9,0.99217725,2.7939677e-9,0.99629164,-2.1512626e-7,1.6067841e-7
70,1.0756625754934633e-7,-1.0756625754934633e-7,-1.883091163592892e-7,-1.883091163592892e-7,6.159356347262448e-7,6.159356347262448e-7,-1.0726809963128722e-7,-1.0726809963128722e-7,0.9921486,0.99628884,1.8626451e-9,0.9921486,1.071021e-8,0.99628884,1.0756625e-7,6.159356e-7
71,1.3446230015767442e-7,-1.3446230015767442e-7,-2.152051589676173e-7,-2.152051589676173e-7,3.7491948574099004e-7,3.7491948574099004e-7,-3.4828424861654194e-7,-3.4828424861654194e-7,0.9921155,0.9962832,2.3283064e-9,0.9921155,6.519258e-9,0.9962832,1.344623e-7,3.7491947e-7
72,-2.689364765065294e-8,2.689364765065294e-8,-5.3849211159289925e-8,-5.3849211159289925e-8,6.42723589364278e-7,6.42723589364278e-7,-8.0480144993254e-8,-8.0480144993254e-8,0.9920717,0.99627626,-4.656613e-10,0.9920717,1.1175871e-8,0.99627626,-2.6893646e-8,6.4272353e-7
73,-1.0757872532369767e-7,1.0757872532369767e-7,2.6835866513754804e-8,2.6835866513754804e-8,6.42726744474522e-7,6.42726744474522e-7,-8.047698988301001e-8,-8.047698988301001e-8,0.99203354,0.9962714,-1.8626451e-9,0.99203354,1.1175871e-8,0.9962714,-1.0757872e-7,6.427267e-7
74,2.9584875902706105e-7,-2.9584875902706105e-7,-3.765916178370039e-7,-3.765916178370039e-7,1.6068196600744247e-7,1.6068196600744247e-7,-5.625217683500895e-7,-5.625217683500895e-7,0.9920092,0.9962696,5.122274e-9,0.9920092,2.7939677e-9,0.9962696,2.9584874e-7,1.6068196e-7
75,1.3447864820873712e-7,-1.3447864820873712e-7,-2.1522150701868e-7,-2.1522150701868e-7,-1.231895187223694e-6,-1.231895187223694e-6,-1.955098921581226e-6,-1.955098921581226e-6,0.9919949,0.9962695,2.3283064e-9,0.9919949,-2.142042e-8,0.9962695,1.3447864e-7,-0.0000012318951
76,1.6137519970581425e-7,-1.6137519970581425e-7,-2.4211805851575714e-7,-2.4211805851575714e-7,-5.623880196646246e-7,-5.623880196646246e-7,-1.2855917540221567e-6,-1.2855917540221567e-6,0.99198985,0.99626756,2.7939677e-9,0.99198985,-9.778887e-9,0.99626756,1.613752e-7,-5.62388e-7
77,-5.379144910571987e-8,5.379144910571987e-8,-2.6951409704222996e-8,-2.6951409704222996e-8,2.945862060407073e-7,2.945862060407073e-7,-4.286175283168247e-7,-4.286175283168247e-7,0.9919951,0.9962608,-9.313226e-10,0.9919951,5.122274e-9,0.9962608,-5.3791446e-8,2.945862e-7
78,-5.3790660328158873e-8,5.3790660328158873e-8,-2.6952198481783995e-8,-2.6952198481783995e-8,-3.4814903687592355e-7,-3.4814903687592355e-7,-1.0713527712334555e-6,-1.0713527712334555e-6,0.9920096,0.99625593,-9.313226e-10,0.9920096,-6.0535967e-9,0.99625593,-5.3790657e-8,-3.4814903e-7
79,-5.378946443959864e-8,5.378946443959864e-8,-2.6953394370344228e-8,-2.6953394370344228e-8,2.6780633001156497e-8,2.6780633001156497e-8,-6.964231013563755e-7,-6.964231013563755e-7,0.99203163,0.99625826,-9.313226e-10,0.99203163,4.656613e-10,0.99625826,-5.378946e-8,2.6780631e-8
80,-1.6136322809799324e-7,1.6136322809799324e-7,8.062036928805037e-8,8.062036928805037e-8,6.962918653091089e-7,6.962918653091089e-7,-2.6911869048423045e-8,-2.6911869048423045e-8,0.9920634,0.9962648,-2.7939677e-9,0.9920634,1.21071935e-8,0.9962648,-1.6136322e-7,6.962918e-7
81,2.689286205364662e-8,-2.689286205364662e-8,-1.0763572086358949e-7,-1.0763572086358949e-7,4.0170324204684374e-7,4.0170324204684374e-7,-3.2150049231068824e-7,-3.2150049231068824e-7,0.9921007,0.99627376,4.656613e-10,0.9921007,6.9849193e-9,0.99627376,2.6892861e-8,4.0170323e-7
82,-8.06763152448973e-8,8.06763152448973e-8,-6.654356504557405e-11,-6.654356504557405e-11,3.213591993495189e-7,3.213591993495189e-7,-4.018445350080131e-7,-4.018445350080131e-7,0.9921286,0.99628425,-1.3969839e-9,0.9921286,5.5879354e-9,0.99628425,-8.067631e-8,3.2135918e-7
83,-5.378322419131361e-8,5.378322419131361e-8,-2.6959634618629256e-8,-2.6959634618629256e-8,2.677961140699281e-7,2.677961140699281e-7,-4.5540762028760387e-7,-4.5540762028760387e-7,0.99214673,0.9962963,-9.313226e-10,0.99214673,4.656613e-9,0.9962963,-5.378322e-8,2.677961e-7
84,1.8823788465664315e-7,-1.8823788465664315e-7,-2.68980743466586e-7,-2.68980743466586e-7,-4.284702813572916e-7,-4.284702813572916e-7,-1.1516740157148236e-6,-1.1516740157148236e-6,0.9921647,0.9963044,3.259629e-9,0.9921647,-7.450581e-9,0.9963044,1.8823788e-7,-4.2847026e-7
85,2.151264847670166e-7,-2.151264847670166e-7,-2.9586934357695947e-7,-2.9586934357695947e-7,-1.231853560124023e-6,-1.231853560124023e-6,-1.955057294481555e-6,-1.955057294481555e-6,0.9921764,0.99630314,3.7252903e-9,0.9921764,-2.142042e-8,0.99630314,2.1512648e-7,-0.0000012318535
86,-1.3445395438219025e-7,1.3445395438219025e-7,5.3711095572247383e-8,5.3711095572247383e-8,-8.301702665161416e-7,-8.301702665161416e-7,-1.5533740008736736e-6,-1.5533740008736736e-6,0.9921771,0.9962935,-2.3283064e-9,0.9921771,-1.44355e-8,0.9962935,-1.3445394e-7,-8.301702e-7
