dv,estimate,SE,df,t_value,p_value,mean_step,sd_step,mean_nonstep,sd_nonstep,n_step,n_nonstep,converged,family,p_fdr,sig
COM_X_path_length,0.0004759828375469,0.0016043444077999,99.9553134350538,0.296683701599787,0.767323608803571,0.0203673245283019,0.0145158218794833,0.020299723880597,0.0089153105891798,53,67,True,Balance/Stability,0.8221324380038261,
COM_X_range,-0.0015417659312736,0.0015733075296494,102.478593699233,-0.979952045114276,0.329417599198406,0.0162117358490566,0.0119594535810684,0.0174455447761194,0.0090005950044946,53,67,True,Balance/Stability,0.5323428350069591,
COM_Y_path_length,0.0010445504529741,0.0011590636228685,103.506967307182,0.901201998203476,0.369573093548449,0.0081588343396226,0.0062281674972574,0.0072566882089552,0.0074677289824289,53,67,True,Balance/Stability,0.5323428350069591,
COM_Y_range,0.0007633115866535,0.0011669448097383,106.75326641147,0.654111128721401,0.514446870389534,0.0070422305660377,0.0059944988353699,0.0065038885074626,0.00720900601814,53,67,True,Balance/Stability,0.6430585879869174,
COP_X_path_length,0.0365451649862985,0.0423854181625701,113.804217974926,0.862210792544947,0.39038474567177,0.14274859364734,0.348793956155555,0.105910845580992,0.0247540762659039,53,67,True,Balance/Stability,0.5323428350069591,
COP_X_peak_velocity,2.34704645320533,2.10953637422857,116.073601368147,1.11258875735841,0.268184009070139,3.38480835567221,17.3077461648854,1.01752362913577,0.369536769318765,53,67,True,Balance/Stability,0.5028450170065106,
COP_X_range,0.011114325624987,0.0207619976701134,114.624115179088,0.535320627695955,0.593465246856952,0.102325670457135,0.170286304700947,0.0911226532674505,0.0136234762038136,53,67,True,Balance/Stability,0.6847675925272523,
COP_Y_path_length,0.0681761195562288,0.0089556037896408,100.775388091701,7.61267706316907,1.47717128338291e-11,0.153540434569979,0.0709398967030311,0.0973471041598369,0.0704327171102207,53,67,True,Balance/Stability,1.1078784625371825e-10,***
COP_Y_peak_velocity,0.722758769125124,0.134716609423,101.65760027266,5.36503087645054,5.10777071512697e-07,1.67461914794834,0.95341237453692,1.15795958207828,1.06514607640515,53,67,True,Balance/Stability,2.553885357563485e-06,***
COP_Y_range,0.0586569075827766,0.0060788898382514,104.432757515407,9.64927957958332,3.9422759371071003e-16,0.103350220613422,0.040937459354095,0.0496532090506668,0.036156786853738,53,67,True,Balance/Stability,5.9134139056606506e-15,***
MOS_AP_v3d_min,-0.0136563818418982,0.0027455150885007,101.58753532276,-4.97406912790106,2.67571298632206e-06,0.038334348449236,0.02820899270564,0.0533930419044044,0.0126272233541823,53,67,True,Balance/Stability,8.027138958966182e-06,***
MOS_ML_v3d_min,-0.0048016273568897,0.0022686325799136,102.478968687219,-2.11652931347419,0.0367214425515522,0.131171318092006,0.0170779690613377,0.134171786948013,0.0149813953537862,53,67,True,Balance/Stability,0.07868880546761185,
MOS_minDist_signed_min,-0.0140811464960139,0.0027096459696112,101.302413015817,-5.19667390276605,1.05533108235398e-06,0.0335324964762438,0.028235680056268,0.0489105420711157,0.0120067833895381,53,67,True,Balance/Stability,3.957491558827425e-06,***
vCOM_X_peak,0.0005905503514122,0.0043940617892715,101.760143537473,0.134397370754795,0.89335382019359,0.0772561665849057,0.0368717900848677,0.0812397073731343,0.0273471383701961,53,67,True,Balance/Stability,0.89335382019359,
vCOM_Y_peak,0.0218976957334382,0.0048045885561208,110.984184643631,4.55766305015678,1.33702703384383e-05,0.0560958151698113,0.0293992024723459,0.0351890252880597,0.0242577026742865,53,67,True,Balance/Stability,3.342567584609575e-05,***
AnkleTorqueMid_Y_peak,-0.0647913719425006,0.0334253555327971,99.0040765430022,-1.93838991118365,0.0554237427626888,1.7381175396166,0.364521380457325,1.870918790524,0.313968430884713,53,67,True,Force/Torque,0.12932206644627386,
GRF_X_peak,2.5601364249395,9.5550559306355,98.2945040082815,0.267935263124015,0.789310599977055,237.206657156706,204.995805632386,269.026800933189,213.676964626996,53,67,True,Force/Torque,0.789310599977055,
GRF_X_range,15.3460336506184,19.950668492779,98.5319112731176,0.769198969757466,0.443615176959746,374.379917132512,327.512388349828,416.462353049067,334.954893292168,53,67,True,Force/Torque,0.5175510397863704,
GRF_Y_peak,26.0045650320036,3.64191980010209,106.02034306816,7.14034532865733,1.21606607508175e-10,51.0307816385191,29.5295016239059,26.3621458992223,15.3230519338916,53,67,True,Force/Torque,4.256231262786125e-10,***
GRF_Y_range,38.8564200979915,4.51513897486813,103.822035684221,8.60580821858896,8.67859710308417e-14,70.4856617528592,38.3968708250213,34.5582970376499,19.4008852998956,53,67,True,Force/Torque,6.075017972158919e-13,***
GRF_Z_peak,24.9397400383419,17.0579618109848,101.90136022172,1.46205861606991,0.146802335381668,170.234945987878,141.450453284708,153.360168923638,83.6812456006625,53,67,True,Force/Torque,0.25690408691791905,
GRF_Z_range,24.4696980854583,18.8331806492265,99.3165268930343,1.29928653801042,0.196853678589811,267.227290830469,177.033529518887,266.745969332504,141.045992036508,53,67,True,Force/Torque,0.2755951500257354,
Ankle_R_ROM,1.44240272965264,0.500790740585038,98.1147980330419,2.88025039753647,0.0048796373145019,9.91528855320589,5.80609153567605,8.78898484654324,4.75262739496644,53,67,True,Joint Angles,0.0097592746290038,**
Ankle_R_peak,1.2311683309938,0.474831631821369,97.9243169834728,2.5928523891116,0.010975848893929,8.03636400178155,4.9095829799736,6.90198239890173,4.03878964939494,53,67,True,Joint Angles,0.01829308148988167,*
Hip_R_ROM,1.93755711698728,0.415085496063589,99.0042552251556,4.66785068464656,9.56696089571787e-06,8.88183419824732,3.62684030567293,7.95079528710552,4.12448503325704,53,67,True,Joint Angles,2.3917402239294676e-05,***
Hip_R_peak,2.09717847431818,0.38137460635534,98.8538898437267,5.49899872558418,2.9950507907333e-07,8.74727497720472,3.65347779670214,7.42930542521941,3.11967815725217,53,67,True,Joint Angles,9.983502635777666e-07,***
Knee_R_ROM,3.49386745371178,0.548814430033098,98.6341582961073,6.36620916381712,6.152744646729851e-09,12.1091322135178,7.34159558795839,10.3808293467127,5.30439671295436,53,67,True,Joint Angles,6.15274464672985e-08,***
Knee_R_peak,3.28632784625845,0.550977049095646,98.6302391719227,5.9645458039541,3.84065289969615e-08,11.0858632356956,7.15136367648686,9.48781507321467,5.00103501027741,53,67,True,Joint Angles,1.920326449848075e-07,***
Neck_ROM,2.54182942624155,1.06337571710248,100.208600755915,2.39033991971117,0.0187012080523752,10.1496183132485,10.963725083787,10.0585939465461,9.0681129083452,53,67,True,Joint Angles,0.02671601150339314,*
Neck_peak,2.45354161113704,1.0749616412879,100.291798742884,2.28244573285189,0.024574596759748,9.84755653779549,10.9712310913466,9.8751348551819,9.06464365746348,53,67,True,Joint Angles,0.030718245949685,*
Trunk_ROM,0.793348695261504,0.515054310833681,101.133863644125,1.54032046441349,0.126605411172664,5.52836524735091,5.56412402176876,4.0006623926334,3.97363840782355,53,67,True,Joint Angles,0.14067267908073777,
Trunk_peak,0.583534651309803,0.507622019095008,101.155910606981,1.14954558580838,0.253041731553258,4.8853511369465,5.56572109745074,3.50577551148077,3.95860596086983,53,67,True,Joint Angles,0.253041731553258,
